# # alphas_L2,errors_L2,lambdas_L2,errors_L1,lambdas_L1,errors_Huber,lambdas_Huber,huber_params,errors_BO
0.4682167700,0.9259834912,3.0961471653,0.9205311270,1.9745672226,0.9095837714,1.6061756524,1.0858124662,0.9066786109
0.4718267091,0.9254501859,3.0957303810,0.9199489580,1.9740786183,0.9089256285,1.6054423015,1.0856134718,0.9059948526
0.4754644806,0.9249133141,3.0953095055,0.9193627630,1.9735860538,0.9082629988,1.6047037728,1.0854132993,0.9053063734
0.4791302994,0.9243728559,3.0948846436,0.9187725180,1.9730899620,0.9075958564,1.6039600199,1.0852119638,0.9046131454
0.4828243815,0.9238287915,3.0944557953,0.9181781986,1.9725898854,0.9069241754,1.6032108054,1.0850092841,0.9039151404
0.4865469448,0.9232811009,3.0940227509,0.9175797807,1.9720861340,0.9062479298,1.6024565121,1.0848054291,0.9032123305
0.4902982091,0.9227297643,3.0935853136,0.9169772398,1.9715784994,0.9055670934,1.6016967639,1.0846002600,0.9025046873
0.4940783954,0.9221747616,3.0931438506,0.9163705514,1.9710670161,0.9048816401,1.6009319287,1.0843940932,0.9017921826
0.4978877270,0.9216160729,3.0926980209,0.9157596910,1.9705515957,0.9041915437,1.6001615209,1.0841864822,0.9010747879
0.5017264283,0.9210536780,3.0922479951,0.9151446341,1.9700321889,0.9034967779,1.5993856839,1.0839776785,0.9003524748
0.5055947260,0.9204875568,3.0917935371,0.9145253559,1.9695089531,0.9027973163,1.5986044446,1.0837676700,0.8996252148
0.5094928481,0.9199176893,3.0913347125,0.9139018315,1.9689816523,0.9020931325,1.5978179060,1.0835565175,0.8988929792
0.5134210246,0.9193440550,3.0908713770,0.9132740363,1.9684504569,0.9013842001,1.5970256057,1.0833439667,0.8981557394
0.5173794873,0.9187666339,3.0904036486,0.9126419451,1.9679150915,0.9006704924,1.5962278954,1.0831302904,0.8974134665
0.5213684697,0.9181854056,3.0899310684,0.9120055331,1.9673756742,0.8999519829,1.5954245250,1.0829152351,0.8966661318
0.5253882069,0.9176003499,3.0894541740,0.9113647751,1.9668320082,0.8992286449,1.5946155870,1.0826989560,0.8959137062
0.5294389363,0.9170114462,3.0889726114,0.9107196460,1.9662844086,0.8985004517,1.5938009966,1.0824813766,0.8951561608
