# q,training_error,generalization_error,m,sigma,m_hat,q_hat,sigma_hat
1.283421931831505401e-02,8.437009741993941603e-01,8.019219636010398444e-01,1.054561278586376299e-01,9.554195817869017004e-03,1.103767704461376020e+01,1.876834502909373370e+01,1.402902096278892152e+01
1.288358357042473402e-02,8.436252497229727032e-01,8.015632495521775036e-01,1.056601670091236456e-01,9.571910918208302241e-03,1.103856564399592344e+01,1.876757179444507528e+01,1.402989252401981979e+01
1.293313769223555613e-02,8.435493945394899606e-01,8.012039309928593589e-01,1.058646033496880995e-01,9.589657665238403988e-03,1.103945594777978378e+01,1.876679707504380090e+01,1.403076573096556601e+01
1.298288241404326609e-02,8.434734084573505264e-01,8.008440070910957109e-01,1.060694376614737394e-01,9.607436111068585333e-03,1.104034795914725819e+01,1.876602086809276315e+01,1.403164058659679370e+01
1.303281846895254850e-02,8.433972912848355374e-01,8.004834770145878853e-01,1.062746707271823576e-01,9.625246307878029123e-03,1.104124168128551098e+01,1.876524317079003268e+01,1.403251709388860036e+01
1.308294659288782372e-02,8.433210428301056716e-01,8.001223399307316742e-01,1.064803033310780661e-01,9.643088307915886545e-03,1.104213711738694315e+01,1.876446398032884133e+01,1.403339525582055103e+01
1.313326752460411070e-02,8.432446629011975947e-01,7.997605950066234426e-01,1.066863362589903080e-01,9.660962163501329164e-03,1.104303427064918885e+01,1.876368329389757506e+01,1.403427507537665342e+01
1.318378200569788987e-02,8.431681513060277355e-01,7.993982414090639033e-01,1.068927702983170358e-01,9.678867927023583617e-03,1.104393314427510475e+01,1.876290110867980587e+01,1.403515655554536146e+01
1.323449078061804396e-02,8.430915078523933959e-01,7.990352783045618912e-01,1.070996062380280556e-01,9.696805650941931615e-03,1.104483374147284991e+01,1.876211742185424569e+01,1.403603969931964635e+01
1.328539459667683366e-02,8.430147323479704191e-01,7.986717048593410251e-01,1.073068448686679277e-01,9.714775387785819227e-03,1.104573606545577569e+01,1.876133223059478183e+01,1.403692450969686334e+01
1.333649420406090268e-02,8.429378246003182973e-01,7.983075202393420389e-01,1.075144869823594640e-01,9.732777190154839539e-03,1.104664011944251811e+01,1.876054553207041664e+01,1.403781098967888497e+01
1.338779035584233314e-02,8.428607844168787278e-01,7.979427236102292209e-01,1.077225333728066003e-01,9.750811110718798566e-03,1.104754590665695524e+01,1.875975732344535629e+01,1.403869914227201399e+01
1.343928380798976863e-02,8.427836116049745030e-01,7.975773141373938557e-01,1.079309848352979634e-01,9.768877202217755157e-03,1.104845343032822491e+01,1.875896760187886869e+01,1.403958897048701715e+01
1.349097531937951296e-02,8.427063059718159499e-01,7.972112909859602192e-01,1.081398421667096321e-01,9.786975517462034868e-03,1.104936269369074076e+01,1.875817636452544690e+01,1.404048047733913585e+01
1.354286565180674168e-02,8.426288673244949345e-01,7.968446533207892424e-01,1.083491061655087601e-01,9.805106109332308029e-03,1.105027369998415487e+01,1.875738360853462794e+01,1.404137366584804880e+01
1.359495556999672228e-02,8.425512954699914125e-01,7.964774003064836183e-01,1.085587776317565312e-01,9.823269030779593208e-03,1.105118645245340581e+01,1.875658933105114912e+01,1.404226853903791117e+01
1.364724584161608294e-02,8.424735902151710976e-01,7.961095311073931313e-01,1.087688573671114489e-01,9.841464334825310994e-03,1.105210095434869189e+01,1.875579352921483078e+01,1.404316509993732787e+01
1.369973723728414201e-02,8.423957513667871266e-01,7.957410448876187647e-01,1.089793461748326947e-01,9.859692074561329095e-03,1.105301720892549611e+01,1.875499620016059765e+01,1.404406335157937313e+01
1.375243053058423232e-02,8.423177787314813925e-01,7.953719408110180300e-01,1.091902448597831116e-01,9.877952303149990093e-03,1.105393521944455237e+01,1.875419734101852143e+01,1.404496329700155677e+01
1.380532649807512946e-02,8.422396721157847654e-01,7.950022180412097406e-01,1.094015542284326875e-01,9.896245073824149613e-03,1.105485498917189346e+01,1.875339694891377817e+01,1.404586493924587387e+01
1.385842591930248023e-02,8.421614313261186480e-01,7.946318757415792300e-01,1.096132750888616225e-01,9.914570439887214481e-03,1.105577652137882971e+01,1.875259502096662345e+01,1.404676828135876576e+01
1.391172957681030553e-02,8.420830561687956406e-01,7.942609130752827928e-01,1.098254082507637702e-01,9.932928454713191302e-03,1.105669981934194190e+01,1.875179155429242783e+01,1.404767332639112531e+01
1.396523825615251894e-02,8.420045464500197641e-01,7.938893292052530137e-01,1.100379545254497049e-01,9.951319171746712475e-03,1.105762488634310436e+01,1.875098654600165560e+01,1.404858007739830761e+01
1.401895274590450428e-02,8.419259019758880136e-01,7.935171232942043185e-01,1.102509147258500660e-01,9.969742644503070891e-03,1.105855172566948319e+01,1.875017999319986473e+01,1.404948853744012993e+01
1.407287383767476599e-02,8.418471225523924684e-01,7.931442945046367488e-01,1.104642896665189861e-01,9.988198926568273711e-03,1.105948034061352914e+01,1.874937189298770690e+01,1.405039870958085579e+01
1.412700232611654658e-02,8.417682079854174049e-01,7.927708419988424016e-01,1.106780801636370465e-01,1.000668807159906838e-02,1.106041073447297940e+01,1.874856224246087422e+01,1.405131059688920381e+01
1.418133900893957418e-02,8.416891580807457363e-01,7.923967649389097589e-01,1.108922870350148998e-01,1.002521013332297734e-02,1.106134291055087360e+01,1.874775103871019155e+01,1.405222420243834947e+01
1.423588468692180489e-02,8.416099726440547935e-01,7.920220624867292392e-01,1.111069111000962950e-01,1.004376516553833788e-02,1.106227687215554845e+01,1.874693827882152419e+01,1.405313952930592336e+01
1.429064016392122063e-02,8.415306514809212102e-01,7.916467338039981927e-01,1.113219531799615469e-01,1.006235322211434385e-02,1.106321262260063243e+01,1.874612395987580982e+01,1.405405658057400764e+01
1.434560624688770158e-02,8.414511943968178143e-01,7.912707780522260093e-01,1.115374140973308531e-01,1.008097435699109243e-02,1.106415016520504757e+01,1.874530807894906204e+01,1.405497535932911468e+01
1.440078374587488129e-02,8.413716011971196229e-01,7.908941943927400020e-01,1.117532946765674301e-01,1.009962862417957373e-02,1.106508950329304852e+01,1.874449063311235264e+01,1.405589586866224572e+01
1.445617347405210584e-02,8.412918716871000679e-01,7.905169819866900704e-01,1.119695957436810385e-01,1.011831607776177838e-02,1.106603064019416038e+01,1.874367161943178672e+01,1.405681811166881801e+01
1.451177624771641562e-02,8.412120056719357697e-01,7.901391399950540295e-01,1.121863181263312026e-01,1.013703677189066801e-02,1.106697357924323910e+01,1.874285103496856664e+01,1.405774209144871278e+01
1.456759288630457387e-02,8.411320029567036505e-01,7.897606675786436048e-01,1.124034626538304993e-01,1.015579076079025506e-02,1.106791832378043416e+01,1.874202887677890317e+01,1.405866781110625219e+01
1.462362421240514208e-02,8.410518633463852645e-01,7.893815638981090954e-01,1.126210301571480416e-01,1.017457809875562530e-02,1.106886487715120815e+01,1.874120514191404752e+01,1.405959527375019746e+01
1.467987105177059708e-02,8.409715866458673528e-01,7.890018281139452583e-01,1.128390214689126703e-01,1.019339884015295870e-02,1.106981324270634026e+01,1.874037982742033748e+01,1.406052448249376141e+01
1.473633423332953128e-02,8.408911726599409553e-01,7.886214593864965261e-01,1.130574374234165069e-01,1.021225303941959012e-02,1.107076342380193168e+01,1.873955293033909442e+01,1.406145544045461016e+01
1.479301458919882011e-02,8.408106211933026319e-01,7.882404568759627805e-01,1.132762788566180207e-01,1.023114075106404397e-02,1.107171542379936824e+01,1.873872444770669432e+01,1.406238815075481341e+01
1.484991295469591591e-02,8.407299320505582374e-01,7.878588197424045703e-01,1.134955466061456641e-01,1.025006202966603427e-02,1.107266924606538794e+01,1.873789437655454648e+01,1.406332261652091731e+01
1.490703016835115587e-02,8.406491050362214779e-01,7.874765471457489951e-01,1.137152415113011072e-01,1.026901692987654442e-02,1.107362489397202765e+01,1.873706271390911127e+01,1.406425884088388756e+01
1.496436707192011495e-02,8.405681399547145771e-01,7.870936382457949243e-01,1.139353644130626508e-01,1.028800550641783759e-02,1.107458237089665154e+01,1.873622945679178642e+01,1.406519682697913254e+01
1.502192451039600224e-02,8.404870366103721624e-01,7.867100922022187692e-01,1.141559161540886269e-01,1.030702781408349665e-02,1.107554168022194219e+01,1.873539460221904207e+01,1.406613657794648908e+01
1.507970333202214921e-02,8.404057948074383777e-01,7.863259081745807011e-01,1.143768975787207431e-01,1.032608390773847272e-02,1.107650282533589881e+01,1.873455814720238877e+01,1.406707809693021893e+01
1.513770438830446159e-02,8.403244143500712138e-01,7.859410853223293136e-01,1.145983095329875801e-01,1.034517384231909212e-02,1.107746580963185856e+01,1.873372008874830286e+01,1.406802138707903005e+01
1.519592853402399781e-02,8.402428950423426190e-01,7.855556228048081735e-01,1.148201528646078662e-01,1.036429767283311883e-02,1.107843063650847171e+01,1.873288042385824426e+01,1.406896645154604464e+01
1.525437662724956484e-02,8.401612366882377225e-01,7.851695197812617044e-01,1.150424284229939614e-01,1.038345545435976659e-02,1.107939730936972289e+01,1.873203914952873816e+01,1.406991329348882047e+01
1.531304952935035393e-02,8.400794390916590526e-01,7.847827754108397391e-01,1.152651370592552987e-01,1.040264724204976315e-02,1.108036583162491162e+01,1.873119626275126137e+01,1.407086191606932069e+01
1.537194810500863706e-02,8.399975020564250938e-01,7.843953888526050688e-01,1.154882796262017841e-01,1.042187309112534155e-02,1.108133620668868424e+01,1.873035176051229911e+01,1.407181232245395286e+01
1.543107322223253274e-02,8.399154253862730624e-01,7.840073592655382173e-01,1.157118569783471690e-01,1.044113305688032685e-02,1.108230843798099663e+01,1.872950563979333438e+01,1.407276451581352461e+01
1.549042575236875795e-02,8.398332088848592392e-01,7.836186858085435469e-01,1.159358699719126584e-01,1.046042719468011882e-02,1.108328252892715504e+01,1.872865789757081600e+01,1.407371849932327557e+01
1.555000657011549811e-02,8.397508523557590809e-01,7.832293676404553651e-01,1.161603194648301030e-01,1.047975555996176131e-02,1.108425848295778060e+01,1.872780853081618702e+01,1.407467427616284184e+01
1.560981655353528737e-02,8.396683556024704398e-01,7.828394039200438081e-01,1.163852063167457457e-01,1.049911820823395958e-02,1.108523630350883771e+01,1.872695753649588823e+01,1.407563184951628799e+01
1.566985658406795309e-02,8.395857184284130081e-01,7.824487938060210590e-01,1.166105313890234141e-01,1.051851519507713238e-02,1.108621599402160562e+01,1.872610491157131207e+01,1.407659122257206441e+01
1.573012754654359857e-02,8.395029406369302061e-01,7.820575364570473420e-01,1.168362955447481144e-01,1.053794657614340498e-02,1.108719755794272821e+01,1.872525065299883451e+01,1.407755239852306239e+01
1.579063032919566720e-02,8.394200220312905136e-01,7.816656310317366962e-01,1.170624996487295288e-01,1.055741240715670111e-02,1.108818099872415175e+01,1.872439475772979733e+01,1.407851538056653951e+01
1.585136582367399627e-02,8.393369624146879149e-01,7.812730766886629707e-01,1.172891445675054989e-01,1.057691274391273258e-02,1.108916631982316581e+01,1.872353722271050813e+01,1.407948017190416934e+01
1.591233492505797834e-02,8.392537615902434522e-01,7.808798725863671519e-01,1.175162311693454115e-01,1.059644764227903914e-02,1.109015352470240856e+01,1.872267804488224741e+01,1.408044677574203085e+01
1.597353853186975203e-02,8.391704193610062257e-01,7.804860178833623596e-01,1.177437603242537240e-01,1.061601715819503189e-02,1.109114261682983837e+01,1.872181722118125435e+01,1.408141519529058172e+01
1.603497754608744150e-02,8.390869355299549470e-01,7.800915117381402863e-01,1.179717329039735585e-01,1.063562134767203488e-02,1.109213359967874801e+01,1.872095474853869845e+01,1.408238543376467433e+01
